tweet,Perbaikan
"@schfess katanya mau pjj 50% ptm %, tp ada yg bilang mau pjj 100%",katanya mau pjj ptm ada mau pjj
"@ryndxz_ enak bangeett, gue udah gumoh ama ptm😭",enak bangett gue sudah rumah sama ptm
@O6O6sites pengen ptm bgt g si lo allllllll,pengen ptm banget
"@schfess gabisa full ptm lah, tp pjj juga say no, jd sy pilih ptm 50%",gabisa full ptm pjj say jadi saya pilih ptm
kalo ptm 50% ketauan bgt banyak yg jahat wkwk,kalau ptm ketauan banget banyak jahat wkwk
"The King Of Bodat.
Klo PTM disetop, otomatis bisnis PCR nya ga jalan https://t.co/Gwz7V3z4q3",bodo tamat kalau ptm distop otomatis bisnis pcr jalan
"@CahTalang2 @bisnis_h @CNNIndonesia @LuhutBinsarFans Yap... Tutup aja semua ya... 
Biar pada mencekam semua biar pada sukses bisnis kesehatannya... 
Saya justru melihat,  pemerintah pusat lebih realistis... Dengan tetap mengijinkan PTM... 
Yg minta PTM dihentikan cuma ""pansos?""",eaa tutup aja semua biar mencekam semua biar sukses bisnis kesehatan saya justru melihat pemerintah pusat lebih realistis tetap mengizinkan ptm minta ptm dihentikan cuma pansos
"@convomf ptm, bisa deket sama temen, cepet paham sama materi. dan terakhir, dapet duit jajan",ptm deket teman cepat paham sama materi duit jajan
"@schfess padahal udh enak ptm dpet duit jajan, eh malah daring lagiii😀",sudah enak ptm dapat duit jajan eh malah daring lagi
@vaniilabluee Sad bngt...padahal udh enak PTM,sad banget sudah enak ptm
@hsgthan tim ulangan PJJ materi PTM,tim ulangan pjj materi ptm
"@schfess boro boro pjj, sekolah gue dari agustus 2020 ptm 100% hhh",boro boro pjj sekolah gue dari gugus ptm haha
@schfess purworejo jateng ptm 100%,prodeo jateng ptm
"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya an…",kebagian tinggi gue senang dukung banget anak ptm termasuk masgub punya
"aku daring lagi, soalnya ada guru yg positif, pdhl mh enak ptm 😢",aku daring lagi soalnya ada guru positif enak ptm
"RT @Catatan_ali7: PTM harus tetap berjalan demi para penerus bangsa mendapatkan Pendidikan yang layak dan semestinya

CAFE CAFE NOH DISELUR…",ptm tetap berjalan para penerus bangsa pendapatan pendidikan layak sepertinya kafe kafe disuruh
"@schfess cirebon, padahal anak sekolah udah da yg positif. dan ini info dari sekolah juga wkwk ptm 100% pake masker pas dokumentasi doang https://t.co/4QRFJQXZD7",cirebon anak sekolah sudah ada positif info dari sekolah wkwk ptm pakai masker dominasi doang
gimana ni senin ptm lg tp gue gadiizinin nyokap😭,ptm lagi gue izin
@nayeonlucu ah seruu masih ptm,wah seru ptm
demi apa demi apa demi apa gua kngn bgtttt djwhdjsbfujrjfn aaaa gila ptm bener bener all day yang kayaaa anjr ga smpt bngt buka twt ngikutin anak anak lelahh ptm 😭😭😭😭😭😭,gua kangen bangett yaaaa gila ptm bener bener day kaya anjir sempat banget buka swt ngikutin anak anak lelah ptm
"@lucywiryono Ah bisa2 aja, PTM Jakarta 100% lho, terlebih usulan Anies ditolak sama Luhut.. Hebat kan",wah aja ptm jakarta lho berlebih usulan anies ditolak sama luhut debat
@nzhcl enak banget masih ptm,enak banget ptm
@subschfess PTM enak ga dikurangin uang jajan+ketemu temen temen dan belajarnya bener kalau PJJ aku males ngerjain tugas😭,ptm enak dikurangin uang jajan ketemu teman teman sewajarnya bener kalau pjj aku males ngerjain tugas
Tapi ga bisa sekarang sekolah udh full ptm😔,sekarang sekolah sudah full ptm
ini krn ptm diberhentikan sementara moots pada on ga ya 🤔,karena ptm berhentikan sementara moots
gue udh nyaman ptm tapi klo kondisinya ga nyaman gini mending pjj aja lgi,gue sudah nyaman ptm kalau kondisinya nyaman mending pjj aja lagi
"@4macio Tapi gue ga di sekolah, gue pjj😭 kalau ptm ga mungkin kesiangan😭",gue sekolah gue pjj kalau ptm mungkin keriangan
"Pdhl kemaren masi ptm 100%, dan nanggung bgt hari ini jumat aaaa",kemarin ptm tanggung banget yaaaa
"RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",ada sekolah bekasi ptm ditutup pemerintah tetap masuk usah pakai seragam tetap ptm karena mos
"@blbarunich @schfess Oiya, disekolahku sampe sekarang malah tetep nerapin PTM 100%, padahal ada beberapa anak yang positif",iya disekolahnya sampai sekarang malah tetap nerapin ptm ada beberapa anak positif
semoga hari ini gajadi ptm :'',semoga gajadi ptm
@sunricberry_ ENAK BANGET MASIH PTM😞😞😞😞 SEMANGAT PTMNYAH🙄💪,enak banget ptm semangat ptm
w sdh mls ptm kalo 50% jdi semoga senin ga sklh 😭😭😭,sudah mls ptm kalau jadi semoga sekolah
"Aduh rencana mau ngekost disuruh nunda dulu soalnya virus makin naik, adekku yang udah ke sekolah disuruh pulang trs keknya bakal ga dibolehin ptm lagi😭",aduh rencana mau ngesot disuruh bunda soalnya virus makin naik sudah sekolah disuruh pulang kayaknya bakal dibolehin ptm lagi
"@convomf bener si, aku juga ngerasa gitu nder. kemaren perasaan baru aja PTM, kerasanya cuma seminggu ternyata uda 2 minggu PTM, eh ternyata aku juga uda seminggu balik PJJ dan ga kerasa sama sekali",bener aku ngerasa nder kemarin perasaan aja ptm kelasnya cuma ternyata kuda ptm eh ternyata aku kuda balik pjj kerasa sama sekali
@marschweitzer di aku masih ptm huhu,aku ptm huhu
Mingdep jadinya ptm 50% yey aku ga diizinin ke sekolah :D,jamnya ptm yey aku diizinin sekolah
"AKU TIM PTM 😤‼️
(-) PJJ : ga produktif, sering ngantuk (mana kalo ngantuk ada backup-an kasur 👎), ga ada dorongan buat belajar krna mikirnya “ah yaudah nnti aja toh gabakal ditanya sma guru”, ga ada basreng or all abt micin lainnya di rumah ANDDDD i cant meet w my friends 🙄 https://t.co/7VBhW4CLGV",aku tim ptm pjj produktif sering ngantuk kalau ngantuk ada backup kasur ada dorongan buat belajar karena makanya wah yaudah nanti aja gabakal disana sama guru ada basreng micin lainnya rumah cant meet friend
"@Yyaoca_ IYAA BENERRRR, pdhl udh terbiasa ptm",iyak bener sudah terbiasa ptm
"@xezens @subschfess iya emg agak ribet. tp drpd sama skali ga ptm, cape juga pjj trus ga ada interaksi dgn guru. mau chat guru pun kek segan bgt, itu pun bukannya lngsng direspon. klo ptm gitu kan enak lngsng direspon :"")",iya emg agak ribet sama sekali ptm cape pjj ada interaksi guru mau chat guru kayak segan banget bukannya langsung respon kalau ptm enak langsung respon
"@treatstars Ini gimananya lebih ke konteks ptm pjj kali ya
Aku lagi libur semester sekarang mah
Semester genap nanti sama kayak sebelumnya, offline buat yang mau ajaa, aku blom mau jadi masih di rumahh 😂",lebih konteks ptm pjj aku lagi libur semester sekarang mah semester genap nanti sama kayak sebetulnya offline buat mau ajal aku belum mau jadi rumah
"RT @l0eydust: @schfess @netacakep org"" kok pada demen pjj dah wkwkwkw, iya gue tau emg situasi nya ga memungkinkan bgt buat ptm, tapi ya ka…",demen pjj dah wkwk iya gue tau emg situasi kemungkinan banget buat ptm
"@Brandenburg__ Wkwk aku pribadi lebih prefer ke PTM Krn bisa lebih produktif
Takut bgt klo PJJ lgie",wkwk aku prodi lebih prefer ptm karena lebih produktif takut banget kalau pjj lagi
PTM BIKIN MAKIN GA TENANG HIDUP,ptm makin tenang hidup
@cloudvanguard1 @rhezas8 @E_Pramono @nynov @CNNIndonesia Diatas ptm tetap hrs jalan krn aturannya level 2 ....... Jd surat diknas tdk mengatur sekolah boleh pjj.... Klu mau masuk hrs antigen..... Akal2an pengusaha,promote ptm tetap jalan karena kurangnya level jadi surat diknas mengatur sekolah boleh pjj kalau mau masuk antigen akal pengesahan
"@kthllcyv huhuu enak nyaa, aku terakhir ptm kmrin😔",huhu enak aku ptm kemarin
@schfess tapi udh nyaman sama ptm :( cuma kalo masuk buat cari penyakit buat apa?,sudah nyaman sama ptm cuma kalau masuk buat cari penyakit buat
"iy anjing ngeselin bgt pas ptm bukannya blg makasih udh gw bagi ilmu gw eh malah digituin, gw gigit lo https://t.co/SMV7tC3ElL",iya anjing ngeselin banget ptm bukannya makasih sudah gue bagi ilmu gue eh malah digituin gue gigit
"RT @bisnis_h: @CNNIndonesia Keliatannya opung ingin lihat pada jatuh sakit itu kan jadi proyek lagi, tp gak mau PTM stop, hanya berkurang d…",kenyataannya opung lihat jatuh sakit jadi produk lagi mau ptm stop berkurang
suka ptm tapi kl ulangannya pjj aja bisa ga,suka ptm kalau ulangan pjj aja
sekolah ku udah ptm 50% lagiii😔,sekolah sudah ptm lagi
gue seneng ptm mau nagih duit 😆,gue seneng ptm mau tagih duit
asli gua benci bgt ptm 50% anjinggg,asli gua benci banget ptm anjing
"@kanirarastra @cerevbrum @schfess mjb, dari temenku yang kalo gasalah ayahnya kerja di dinas pendidikan katanya hari ini ada rapat buat bahas ptm/pjj",dari temenin kalau masalah kerja dina pendidikan katanya ada rapat buat bahas ptm pjj
@pevjabatt wahh semangatt yg masih ptm!! jangan lupa prokes yaa,wah semangat ptm jangan lupa prokes eaa
"@jaeyongcib Gaenakk, maunya ptm :((",gaenak maunya ptm
ALHAMDULILLAH SENIN JADI PTM😎😎😎😎😎😎😎😎😎😎😎😎😎,alhamdulillah jadi ptm
"Padahal Presiden sudah minta PTM dievaluasi.. 
Presiden lho yang minta, PRESIDEN!!!! https://t.co/CSRyEsdKnd",presiden sudah minta ptm dievaluasi presiden lho minta presiden
"Gue setuju ptm full, soalnya seru. Tapi karena keadaan lagi gak memungkinkan, yaudah 50%

PJJ MENYIKSA BANGET YA ANJIR BUAT ANAK SMK. TAR GUE LULUS NGANG NGONG NGANG NGONG 🤗🤗🤗🤗🤗🤗🤗🤗🤗 https://t.co/IVtGNNaFxd",gue setuju ptm full soalnya seru karena keadaan lagi kemungkinan yaudah pjj menyiksa banget anjir buat anak smk bentar gue lulus ngang ngong ngang ngong
"@schfess Sukoharjo. tp kmrn kelas sebelah smuanya tes swab krn ada 1 yg +c19. Ini nunggu dlu kalo hasilnya negatif smua bakal lanjut ptm, kalo ada yg + lagi pjj 2 minggu",kemarin kelas sebelah semaunya tes swab karena ada nunggu kalau hasilnya negatif semua bakal lanjut ptm kalau ada lagi pjj
"@KangSerox @E_Pramono @nynov @CNNIndonesia Tujuannya kan emang gitu, biar terpaksa pada PCR, krn omicron ini susah ketangkap antigen. 
Kalo dr awal ada option PJJ dan PTM, mungkin bisnis ga akan selancar ini. 
Belom lagi kaum anti masker, mereka kayaknya yg paling untung kalo penyebaran masive.",bukannya emang biar terpaksa pcr karena omicron susah tangkap antigen kalau dari awal ada spion pjj ptm mungkin bisnis pelancar belom lagi saum anti masker kayaknya paling untung kalau penyebaran masif
KEREN DEH KALO DIPIKIR² WAKTU PTM TUH JAM SET 6 UDH MANDI,keren deh kalau pikir ptm jam se sudah mandi
"AAAAAA GUE BARU BANGUN, AKDHDHSKS BOLOS PTM ANJRITT",aaaaaa gue bangun bolos ptm anjir
klo ptm udh gue tampol buku,kalau ptm sudah gue tampil buku
"@schfess Wonogiri nder, masih ptm. tapi yang di kota malah pjj, ada yang kena soalnya. Doainn di tempatku biar gak kena PJJ 😭",nder ptm kota malah pjj ada kena soalnya doain ditempatku biar kena pjj
@kiabercerita GUE IRI BGT SM YG MASIH PTM ANJG,gue iri banget sama ptm anjing
"@sadgittagirlz pdhl udh nyaman bgt ptm :(( semoga aj pjj ini bnr cuma 2 minggu, rada trauma soalnya sama kata ""2 minggu""",sudah nyaman banget ptm semoga aja pjj benar cuma nada trauma soalnya sama kata
"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh kesima covid sedang tinggi ptm dihentikan sementara kalau sudah handai ptm dilanjutkan
"kalau PTM?
waktu ketemunya lebih lama
interaksinya lebih besar
kok kok kok https://t.co/zUwnqEugBT",kalau ptm ketemu lebih lama interaksi lebih besar
Gamau PTM 😭,gamau ptm
"@PJW3404_ pjj mulai dari kemarin tapi cuma sampe tanggal 9, tanggal 10 udah mulai ptm lagi",pjj mulai dari kemarin cuma sampai tanggal tanggal sudah mulai ptm lagi
"@tyuniverse__ huhuhu samaa, serentak deh ini di pjj in pdhl baru 3 minggu ptm:((",huhu sama serentak deh pjj ptm
kalian skrg pjj/ptm??,kajian sekarang pjj ptm
"Bismillah kasian anak 
Sekolah baru aja ptm sekarang pjj lagi",bismillah kasian anak sekolah aja ptm sekarang pjj lagi
"@schfess ptm 50%, jogja",ptm jogja
@imurfuturepilot wiiih mantap muff aku jadi pengen lari lagi tapi kehalang sama ptm mulu jadi suka gak sempet😭,wah mantap mual aku jadi pengen lari lagi kepalang sama ptm mulu jadi suka sempat
"@lita7lof iyasih kek maba, kan baru ptm ntr minggu depan 😭😭 ooh kirain diatas aku ekekeke",iya kayak mahasiswa baru ptm bentar oh kirain diatas aku wkwk
"Cape banget, baru aja mulai PTM beberapa bulan eh sekarang udah daring aja lagi. Gue ga mau woi kehilangan masa SMA gue dengan kenolepan",cape banget aja mulai ptm beberapa eh sekarang sudah daring aja lagi gue mau woi kehilangan masa sma gue kebolehan
"@everyone_ggyu ptm, kalau di jelasin langsung masuk ke otak",ptm kalau pelamin langsung masuk otak
"Vaksin sudah 100% lebih, PTM mau disetop. Gak ada guna. Percum tak bergun. https://t.co/XEPDjLjvHt",vaksin sudah lebih ptm mau distop ada guna percuma berguna
@wordmtchaa Semoga bisa ptm lagiii secepatnya yaaa,semoga ptm lagi secepatnya eaa
"@detikcom Halah, giliran nt di kasih PTM 100%,  lalu ada yg KOMPLAIN, nyalain LG pusat. Dasar buzzer DKI",halah giliran kasih ptm ada komplemen nyalahin lagi pusat damar buxxer dki
aku belom nyobain ptm full pdhal :(,aku belom cobaan ptm full
"@sadgittagirlz u too! 
udh pjj lgi aaaa pdhl udh seneng ptm😔",sudah pjj lagi yaaaa sudah seneng ptm
"sekolah gue ptm 100 persen ceritanya, tp yg pjj segini dari 30🤌🏻🤌🏻🤌🏻 https://t.co/HV3CmIMVFz",sekolah gue ptm persen ceritanya pjj segini dari
"@subschfess tim ptm, tapi untuk sekarang pjj aja lah daripada makin parah",tim ptm sekarang pjj aja makin parah
anjir ptm 50%???????,anjir ptm
@convomf hrsny ptm tp batal anjir jd daring,ptm batal anjir jadi daring
"@schfess setuju, daripada nanti makin parah dan makin gak bisa ptm full lagi",setuju nanti makin parah makin ptm full lagi
@eojnlee ptm nya sampe tgl 19? Yahhhh gamau daring lagi gasi☹️,ptm sampai tanggal gamau daring lagi gasi
"@convomf ptm, karena ulangan jadi bentar aja",ptm karena ulangan jadi bentar aja
@ajunkyubwa mending ptm ga sie,mending ptm pie
Daring/ptm?,daring ptm
"Akhirnya bisa nungguin bias w pulang wamil 😔
Kemaren"" ga inget udh D brapa gegara PTM jdi sibukkk",akhir nunggu pulang jamil kemarin ingat sudah gegara ptm udi sibuk
gapapa lah ya daring 100% yang penting jgn 50% ptm 50% pjj lagi,daring pending jangan ptm pjj lagi
"@CNNIndonesia Kalo penyebaran ga masive kan yg PCR sepi. 
Kalau dr awal Hybrid, ganjil genap, sekolah ga terlalu padat, penyebaran ga masive, mungkin PTM masih bisa jalan aman sampai skrg. Tp kan tujuan utamanya bukan itu.",kalau penyebaran masif pcr sepi kalau dari awal hybrid ganjil genap sekolah terlalu pakat penyebaran masif mungkin ptm jalan taman sampai sekarang tumpuan utamanya bukan
@jekeylins GW MASIH PTM YA ALLAH AMIT AMIT PJJ LAGI DAH,gue ptm allah amit amit pjj lagi dah
"banyak yg izin g ptm, kalo kaya gitu mending gue juga:)) masih bisa lanjut bobo",banyak izin ptm kalau kaya mending gue lanjut bobo
Kalian ptm atau pjj? W PJJ LAGI NGENTOTTT SEBELLL,kajian ptm pjj pjj lagi ngentot sebel
"Udah senang PTM 100%
Eh malah kembali online 😅😅😅 https://t.co/0vopkgDtb4",sudah senang ptm eh malah kembali online
"skrg pjj, tp maunya ptm https://t.co/z1mXCf1FmR",sekarang pjj maunya ptm
"Jujur enakan ptm, materi gampang banget masuk otak, tapi ga enaknya klo ngerjain tugas pasti gurunya keliling, jujur males sama guru yg keliling🙃😑",jujur enakan ptm materi gampang banget masuk otak anaknya kalau ngerjain tugas pasti lucunya keling jujur males sama guru keling
PTM anak sekolah di tindakan lagi gegara covid.. Entah mengapa nggak ada antisipasi dari awal di pihak sekolah atau dinas..,ptm anak sekolah tindakan lagi gegara covid entah mengap ada antisipasi dari awal pihak sekolah dina
SchApp! Dom serang banten pjj ga? ih sklhku ptm 25% jd 9 org masuk gt terus ada sesi pagi sm siang tapi banyak yg ga masuk soalnya pada takut sama omic**n terus ada yg kena jugaa😸🥲 klo kaya gini mending daringin lg gasih?,dom serang banten pjj ihh sekolah ptm jadi masuk ada sesi pagi sama banyak masuk soalnya takut sama omicron ada kena kalau kaya mending daring lagi gasi
"Pagi ini buka grup ada info kasus covid meningkat di daerah cinunuk sama cimekar
Wakasek kurikulum: jadwal akan berubah, kita bakal blended learning, yang utamanya online
Yang tadinya 100% udah PTM eh sekarang begini lagi
Seneeeng banget wkwkwkw",pagi buka grup ada info kasus covid meningkat darah sama kerikil jadwal berubah bakal blended learning utamanya online sudah ptm eh sekarang begini lagi seneng banget wkwk
"@9yu_acousthic ptm juga hrsnya, tapi hari ini gk berangkat soalnya lgi sakit",memusuhi ptm berangkat soalnya lagi sakit
"Dan sampai sekarang belum ada revisi kebijakan PTM dari kampus.

Mantap emang, mungkin nunggu jatim kenaikan kasus kayak jakarta / ada yang positif di kampus waktu kuliah baru direvisi 👍 https://t.co/SjpWc1Z1PM",sampai sekarang belum ada risi kebijakan ptm dari kampus mantap emang mungkin nunggu jatim kenaikan kasus kayak jakarta ada positif kampus kuliah direksi
@Vick4_pikachu Gamau pjj pls...udh enak PTM,gamau pjj pls sudah enak ptm
"@kwrja seneng karena pel hr ini ngeselin
sedih grgr gue udh nyialin semaleman buat ptm ternyata batal",seneng karena pol ngeselin sedih gegara gue sudah nyali semalaman buat ptm ternyata batal
kangen ptm,kangen ptm
"@schfess semoga sekolah gweh ttp ptm, walaupun cuma 50%. udah seneng koq😔",semoga sekolah gue tetap ptm yaampun cuma sudah seneng
"gue benci banget daring demi allah, lu liattt skrng gue baru bangunn anjir males mandi kaya ga smgt sekolahhh, ayolahhh woi gue mau ptm😭😭😭",gue benci banget daring allah liat sekarang gue bangun anjir males mandi kaya semangat sekolah yelah woi gue mau ptm
"@lovsvna ptm, tapi hari ini gk berangkat sekolah soalnya gi sakit",ptm berangkat sekolah soalnya lagi sakit
"BARU JUGA BILANG SENANG PTM PADAHAL YANG LAUN UDAH PJJ LAGI, TETIBA SEKOLAH AKU DIUMUMIN PJJ MANA TENGAH MALEM AAAAAAA",senang ptm lain sudah pjj lagi tiba sekolah aku diumumin pjj tengah malem aaaaaa
"OOOOOOH MULAI SEKARANG PTM NYA TERBATAS, BELAJARNYA CUMA 25 MENIT",oh mulai sekarang ptm terbatas sewajarnya cuma menit
PTM LAH GILA LO https://t.co/ViDrVtSjKu,ptm gila
"@heragvrl wkwkwk ktnya kabupaten tuh ttp msk ptm gtu ga ada online gatau jg yaa, kita kan msk kabupaten tangerang klo buat kota udh pd online",wkwk katanya ketupat tetap masuk ptm ada online gatau eaa masuk ketupat tangerang kalau buat kota sudah online
gue ga jadi ptm dong😭,gue jadi ptm dong
"ptm tugas klp numpuk, pjj tugas rumah yang numpuk 😩🙏",ptm tugas kelompok numpuk pjj tugas rumah numpuk
"@beeabiw betul, enakan ptm",betul enakan ptm
"@loveinglty Sebenernya sih enak ptm, lebih ngerti materi cuman ptm nggak ada istirahat, capek",sebenernya enak ptm lebih ngerti materi cuma ptm ada istirahat capek
"pagi pagi gini gue udah sintink gara-gara tugas 😰
HARI INI G PTM TAPI DARING ISH 😭😭😭😭😖😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",pagi pagi gue sudah sinting gegara tugas ptm daring ish
ANJING MAU PTM LAGI,anjing mau ptm lagi
RT @abcdefstdy: @schfess sekolah gw belum njir gw lagi nungguin pjj lagi soalnya cape bgt ptm,sekolah gue belum njir gue lagi nungguin pjj lagi soalnya cape banget ptm
"@schfess PTM untuk kelas 6, 9, 12 aja plis saya butuh interaksi sama temen kalau kesusahan",ptm kelas aja plis saya butuh interaksi sama teman kalau kesusahan
@fadlizon Membingungkan. Satu sisi gembar gembor Covid meningkat lagi. Disisi lain bersikukuh tetap PTM. Maunya apa boss?,membangunkan risi gambar gembol covid meningkat lagi disisi lain bersikukuh tetap ptm maunya bos
"@vrilliu__ jelas ptm, pjj makin males akunya:(",jelas ptm pjj makin males aku
"@gulayamanis yg lain ptm kita ptmt, yg lain ptmt kita pjj",lain ptm ptmt lain ptmt pjj
"@puwpies pjj, males ptm kebagian sesi sore mulu",pjj males ptm kebagian sesi sore mulu
"kasian bgt jdi gue!! PTM full gk ktmu ayang, PTM pke sesi jga gk ktmu ayang pdhl 1 sesi, skr malah PJJ!! untuk ayang, KENAPA DOYAN BANGET DIEM DIKELAS SIH? HAH?!! apa gk cape duduk terus? GATAU KALO AKU KANGEN?! mna dia adkel lgi, bntr lagi gue lulus woy!!!",kasian banget jadi gue ptm full ketemu sayang ptm pakai sesi ketemu sayang sesi sekarang malah pjj sayang moyang banget diem dibalas hah cape duduk gatau kalau aku kangen lagi bentar lagi gue lulus woe
yg gaenak pas ptm adalah harus mandi pagi-pagi alias dingin gakuaaaat mau tidur aja,gaenak ptm apalah mandi pagi pagi alias dingin gakuat mau tidur aja
maaf aku ga on hehe soalnya abis ptm tuh capeee banget jujur jadinya aku males on dimana-mana,maaf aku soalnya abis ptm cape banget jujur jamnya aku males
"@loveinglty iyaaa, sekolah ak udh dpt surat. PTM nya ditutup smpe keadaan normal😭",iya sekolah aku sudah dpr surat ptm ditutup sampai keadaan normal
"Ptm tetap jalan terus, sd smp sma kuliah.
Agar ekonomi berputar. Jangan ketakutan covid. 
Cukup pakai masker lah https://t.co/m8DSOyie9h",ptm tetap jalan sd smp sma kuliah agar ekonomi berpijar jangan ketakutan covid cukup pakai masker
@ayangeren 😭😭 gue kemaren udah ptm skrg malah pjj,gue kemarin sudah ptm sekarang malah pjj
"RT @DokterAri: Setuju PTM ditunda sampai 1 bulan ke depan,penularan memang bisa terjadi saat disekolah,ini terjadi pada kerabat kami,anakny…",setuju ptm itunya sampai penularan memang terjadi sekolah terjadi kerabat anaknya
"@onthesbrew Ooh.. gatau bang, gak diceritain 😂 intermezzo lagi bahas sekolahannya yg diciduk media gegara PTM.",doh gatau bang disediain internet lagi bahas disekolahnya disdik sedia gegara ptm
"@subschfess klo dibilang cape ptm iyaa si cape. tp kita ngertiii gt materi yg disampein. klo pjj rebahan gajelas, karena cm dikasi materi doang gadijelasin ujung2 scroll tiktok, twt, maen game. jd kek lebih ga efektif gt waktunya",kalau bilang cape ptm iyak cape ngerti materi disampaikan kalau pjj rebahan gajelas karena cuma dikasih materi doang dijelasin ujung scroll tiktok main game jadi kayak lebih efektif waktunya
"Anjir aku takut kalo tiba tiba ptm 50% tapi pembagiannya pake absen ganjil genap, anjir lah temen temenku pada genap anjir aku ganjil",anjir aku takut kalau tiba tiba ptm pembagian pakai absen ganjil genap anjir teman temenin genap anjir aku ganjil
@Mdy_Asmara1701 mungkin ini maksudnya biar 100% siswa terpapar omicron dulu baru akan disetujui stop PTM di DKI ya? mungkin lho ya? 😷,mungkin maksudnya biar siswa terpapar omicron setuju stop ptm dki mungkin lho
@sleepyfumii Sekolah ku ga pernah ptm..,sekolah pernah ptm
Pada minta dating lagi disaat gue jadwal PTM aja baru besok Maret mulainya wkwkwk,minta datang lagi gue jadwal ptm aja besok maret lainnya wkwk
potret sekolah saat dikasih tau PTM 50% dadakan. sepi bangettt pada males sekolah wkwk https://t.co/V9KeXL9J3R,potret sekolah dikasih tau ptm dadakan sepi bangett males sekolah wkwk
"knp kls di pake waktu bagian sesi gw ke ptm trs si.. jd nya kan skrg bagian daring. tp gpp seneng tp ga seneng soalnya di tnya"" mulu sm ayah",kelas pakai bagian sesi gue ptm jadi sekarang bagian daring seneng seneng soalnya tanya mulu sama ayal
@ericrsohn Di ig ada berita bakalan stop ptm 100% dulu,ada berita bualan stop ptm
@schfess ptm 50% aja deh segitu aja badan saya sudah remuk,ptm aja deh segitu aja badan saya sudah remuk
"monyet, sekolahku ptm ,50%",monyet sekolah ptm
salah satu alasan mau ptm.. pjj banyak masalahnya https://t.co/KpWD92WyBd,salah alasan mau ptm pjj banyak salahnya
skul gue doang kayaknya yg masih kekeuh ptm hadehhhh,sekolah gue doang kayaknya kenek ptm hadeh
@naceuzz Padahal udh enak PTM....,sudah enak ptm
"Males ptm huwee, gw sendirian di depan lab karena blom ada yg dateng😭",males ptm hue gue sendirian lap karena belum ada dateng
kembali ke rutinitas menjadi remaja jompo. baru enak² sebulan ptm full eh malah pjj lagi. EH GUE UDH KELAS 12 YAAA JANGAN PJJ LAGI DONG 😭😭😭,kembali validitas menjamin remaja jompo enak sebulan ptm full eh malah pjj lagi eh gue sudah kelas eaa jangan pjj lagi dong
hari ini ptm males bgtt ujan deras,ptm males bangett hujan deras
ptm 25% apa seru nya tai,ptm seru tai
"aku tinggal di kabupaten dan di sini kasus c word udah mulai naik, tp di sekolahku guru-guru sama muridnya lalai sama prokes. yang pakai masker dikit bgt, mana udah ptm full. aku hrs gimana ya? cemas banget rasanya 💙",aku tinggal ketupat kasus word sudah mulai naik sekolah guru guru sama muridnya lalai sama prokes pakai masker dikit banget sudah ptm full aku cemas banget rasanya
"@CNNIndonesia PTM itu wilayahnya MenKes...... lah kok bapak itu yg bicara PTM.....
Bpk itu Menteri ASU ( Ahli Semua Urusan )...
Sepertinya manusia itu yg tersuper di Republik ini....Demi ALLAH SWT Tidak perlu percaya dengan Omongan bpk itu titik",ptm wilayah menenes bicara ptm menteri asu ahli semua rusak sepertinya manusia terpapar publik allah swt perlu percaya omongan titik
"JNCKKKK GW BARU NYAMPE SEKOLAH UDH DISURUH PULANG GARA"" GA JADI PTM",jancuk gue nyampe sekolah sudah disuruh pulang gara jadi ptm
"@Najaejun__ engga, ini karena ada perubahan. ptm nya jadi 50% lagi, terus jadwal baru belum ada, makanya jum'at pjj dulu, senin ptm 50% lagi, ganjil genap😞😞",karena ada perubahan ptm jadi lagi jadwal belum ada makanya pjj ptm lagi ganjil genap
Guis bekal sekolah buat adek yg ptm hari ini~ untung besok libur jadi gaperlu bikin bekal hehehehehe https://t.co/YFJWpnlINQ,guys bekal sekolah buat ptm untung besok libur jadi gaperlu bekal
"@blberriee gue sibuk sekul nih, PTM BIKIN CAPEKK ISHH😩",gue sibuk sekolah ptm capek ish
@hamtchajin HSGAHW KAKKK KEMAREN MALEM TUH YAH aku pegel bgt tapi gamau tidur gituu. Kaya ga ngantuk gitu. Padahal paginya aku ptm😭 tapi habjs nge twit itu aku bobooo,cegah kemarin malem wah aku pegal banget gamau tidur kaya ngantuk baginda aku ptm habis aku bobo
@skywrxv AAAAA SEDIH BGT UDH NYAMAN PTM😭,yaaaa sedih banget sudah nyaman ptm
"ptm gue 50% kembali ke sesi sesian, ketar ketir ga se sesi ama cc gue 😭😭",ptm gue kembali sesi sesian ketar ketir se sesi sama c gue
"@vrilliu__ Fifty"" si😭
Ptm enk bisa ghibah+dpt jajan
Pjj enk karna g ush bangun subuh""",fit ptm enak gibah dapatkan pjj enak karena usah bangun subur
"@vrilliu__ ptm, walaupun capek tp materi alhamdulilah masuk 😭",ptm yaampun capek materi alhamdulilah masuk
