id,Opini,Bahasa,Sentimen
473,ptm 50% sepi bnget kelas akuu',Indonesia,
474,ANJIR PTM 50%',Indonesia,Negatif
475,"@champagnedrinks Stuju juga klo 50%  PTM, gurunya pada mikir kita main aja, jadinya tugasnya ditumpukin terus, ditambah ulangan lagiii.'",Indonesia,
476,"Bismillah semoga PTM 100% disekolahku beso aja, hari selasa kembali sesi A sesi '(50%). Plisss Bismillah.  Aamiin'",Indonesia,
477,"ya ptm 50% aja, lebih baik daripada ptm 100%'",Indonesia,
478,@xslnau tapi seru kan ya ptm 100% huhu aku masih 50% ngga asik banget',Indonesia,Positif
479,@dayuinds Aku baru mau PTM lagi day haha Tdnya 100% terus banyak yang ga setuju. Akhirnya 50% dulu. Eheheee masih a https://t.co/PWvdUDgCdK',Indonesia,
480,"Dih serius dah.. SUMPAH MENDING PTM 50% GPP ASLI ANJIR INI TAKUTT AKU TEH, tapi kangen sm temen'",Indonesia,
481,"Tadi kesel gegara ptm nya msih 50%, skrng ptm nya diubah udah jdi 100% saya mlh takut?! YA ALLAH CAPEK SM DIRI AING'",Indonesia,
482,KESELL GA SIE PTM JADI 50% LAGI PDHL UDH SENENG FULL LOHH',Indonesia,
483,@schfess SKOLAH GWEHHHH PTM 50% LG ANJJJJJJ',Indonesia,Negatif
484,@schfess masih 100% cape banget. semoga aja deh sekolah aku jadi 50% lagi ptm nya',Indonesia,
485,@schfess sekolahku udah stop ptm 100% dari minggu kmrn. jadi 50% skrg persesi',Indonesia,
486,"semua gr2 polan, jd ptm 50% lg asooo'",Indonesia,
487,"@schfess Masihh ptm 100%, berharap 50% aja boleh gak sih'",Indonesia,
488,"@schfess seminggu yang lalu sekolahku ptn 100%, minggu kemarin katanya gaboleh jdnya 50% dan minggu depan kembali ptm 100% ..'",Indonesia,
489,@schfess gatau deh nder ini udh 2 minggu sklh dan kelas 12 baru 100% ptm. dan skrg senin depan kls 10 sm 11 juga ik https://t.co/tAHr5d64Or',Indonesia,
490,@tiqqquee ptm 50% dibagi berdasarkan yang makan diaduk dan ga diaduk',Indonesia,
491,kenapa ptm 50% lagi sih',Indonesia,Negatif
492,"Cape anjir kalo 50% ptm, di sekolah isinya presentasi ma kuis dadakan, sampe rumah ngerjain tugas di gc'",Indonesia,
493,"@schfess Kalau ngasih info suka dadakan, kadang h-berapa jam gitu baru dikasih tau. Sekolahku awalnya ptm 100% tapi https://t.co/YHIdfRFrR3'",Indonesia,
494,SchApp! besok sender bakal ptm 100%.... Takut banget AAAAAAAAAAAAAAAAAA ntar ga ditemenin gimana ya ((nangis),Indonesia,
495,"sekolah gua agak mencla-mencle ya, kmrn bru full PTM 2 minggu, pas minggu ketiga diganti ke PTM 50%. baru seminggu,  https://t.co/VDysZAOwHw'",Indonesia,
496,pantesan aja anjing mingdep gue ptm 50%',Indonesia,Negatif
497,"@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",Indonesia,Negatif
498," @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol Emang beda bgt,, Jakarta masih PTM Ã°Å¸Â¥Âº",Indonesia,
499," @Dj_Bams74 Hahahahaha Ã°Å¸Â¤Â£Ã°Å¸Ëœâ€š Abis jatuhin anak orang kabur Ã°Å¸Ëœâ€š  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda Ã°Å¸Ëœâ€š Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang Ã°Å¸Ëœâ€šÃ°Å¸â€˜Â",Indonesia,
500,TAPI PTM 50% LAGI?? ANJRIT SESIÃ‚Â²AN MULU,Indonesia,
501,tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),Indonesia,
502,"mendingan pjj ya, kalo ptm tu tugasnya susah susah",Indonesia,Negatif
503,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bÃ¢â‚¬Â¦",Indonesia,
504,"Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š",Indonesia,
505,AAAAAAAAAA MAU PTM AJA,Indonesia,Positif
506,RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagiÃ¢â‚¬Â¦,Indonesia,
507,"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. D ancam gak bisa ikut PTM, akÃ¢â‚¬Â¦",Indonesia,
508,"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",Indonesia,
509,"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan. Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",Indonesia,
510,"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",Indonesia,
511,"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan siaÃ¢â‚¬Â¦",Indonesia,
512,"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkelÃ°Å¸Ëœâ€ C551Bisa ga sih pjj rasa ptm gituÃ°Å¸ËœÂ­",Indonesia,
513,mending PTM si bener kalau daring banyak bangt tugas nya,Indonesia,Positif
514,kangen ptm https://t.co/Yo8Jdg3O4Z,Indonesia,Positif
515,"yg masih ptm enak bgt deh, aku iri :(",Indonesia,Positif
516,"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",Indonesia,
517,"@sccumma Emg kita kyknya bakal gt ga sih Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",Indonesia,
518,"@4ivengers HAH KOK ENAK PTM, AING DARING",Indonesia,
519,harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,Indonesia,
520,"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orangÃ¢â‚¬Â¦",Indonesia,
521,ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,Indonesia,
522,sepertinya semester ini ptm adalah ide buruk,Indonesia,Negatif
523,MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,Indonesia,
524,"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh Ã°Å¸â„¢â€ž https://t.co/UfU5c8a9IB",Indonesia,
525,Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astagaÃ°Å¸ËœÂ©,Indonesia,
526,mau balik ke ptm plis :(,Indonesia,
527,"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",Indonesia,
528,mau ptm aja ribet banget persyaratannya,Indonesia,
529,@joshujiee Emg blm pernah ptm ato balik pjj lagi?,Indonesia,
530,"ngga usah ptm 50% lahh, pjj aja udh ampe lulus Ã°Å¸â„¢â€š",Indonesia,
531,gua mau ngomong Ã¢â‚¬Å“besok ptm anjing bangun pagi woi?Ã¢â‚¬Â juga ga mempanÃ°Å¸ËœÂ­ https://t.co/Xbf8oiz2vh,Indonesia,
532,@wolfbitieee enakan ptm lah,Indonesia,Positif
533,@schfess aku mau ptm 50% !!! pls kangen bgt,Indonesia,Positif
534,"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",Indonesia,
535,"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeeeÃ°Å¸Â¥Â°Ã°Å¸Â¥Â°Ã°Å¸Â¥Â°Ã°Å¸Â¥Â°Ã°Å¸Â¤â€”Ã°Å¸ËœÅ’Ã°Å¸Â¤Âª",Indonesia,
536,"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk Ã°Å¸Ëœâ€œ",Indonesia,
537,ini lah mengapa sy lebih suka PTM,Indonesia,Positif
538,"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",Indonesia,
539,YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,Indonesia,
540,Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,Indonesia,
541,@cetenotpete ptm tp skrg libur,Indonesia,
542,IH MENDING PJJ DAH DARI PADA PTM 50%,Indonesia,Negatif
543,"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak  NAMANYA JUGA ANAK ANAK, WAJAR SAJA  PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat  https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",Indonesia,
544,@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,Indonesia,
545,@cetenotpete ptm tp meliburkan diri xixi,Indonesia,
546,"@ljnchoco Enak ptm ga sie, dapat uang jajanÃ°Å¸ËœÂ­",Indonesia,
547,Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,Indonesia,Positif
548,"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi Ã°Å¸Â¤Â¬",Indonesia,
549,YA ALLAH BESOK DARING LAGIÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ BELOM PUAS PTM UEUEE,Indonesia,
550,"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagiÃ°Å¸ËœÂ­",Indonesia,
551,ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,Indonesia,
552,"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik) pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol) ^^ persepsi gue",Indonesia,
553,"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",Indonesia,
554,"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya anÃ¢â‚¬Â¦",Indonesia,
555,"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",Indonesia,
556,"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",Indonesia,
557,"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",Indonesia,Positif
558,gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh Ã°Å¸ËœÅ½Ã°Å¸ËœÅ½,Indonesia,
559,@wajaar Semangt ya yg belum ngerasain ptm,Indonesia,
560,Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,Indonesia,
561,"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsbÃ°Å¸ËœÂ­pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",Indonesia,
562,@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,Indonesia,
563,@Pockyyycocolate sama kayak kelasku kalo ptm,Indonesia,
564,"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab Ã¢ÂÂ¤",Indonesia,
565,"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",Indonesia,
566,"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",Indonesia,
567,"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",Indonesia,
568,"@collegemenfess yay aja, kalo PTM biasanya dosennya ngasih waktu istirahat si buat maksi",Indonesia,
569,"@onyonrm_ark gwehj ptm anjritÃ°Å¸ËœÂ­, udah donggg",Indonesia,
570,"Drama ngeyel ala gottbener, daerah lain saja bisa menghentikan PTM kenapa DKI gak bisa https://t.co/prsM5jgi5H",Indonesia,
571,@schfess Ada juga yg sukanya jalan-jalan ketika disuruh ptm malah takut kena Ã°Å¸ËœÂ­ dikira jalan-jalan itu kebal apa,Indonesia,
572,"@hipeaches_aem dl nya si masih lama soalnya ngumpulinnya pas ptm, tapi bnyk ada 7 tugas Ã°Å¸Â¥Â²",Indonesia,
573,IH GAMAU PTM 50% :((((((,Indonesia,Negatif
574,"Viralken aja, yg jelas pak Anies sdh berusaha krn arogansi si lumut maka permintaan tutup PTM ditolaknya #PermintaanTutupPTMditolakLuhut https://t.co/WKsC8Oinka",Indonesia,
575,"Bangun pagi, gosok gigi, terus mandi, PTM lagi..",Indonesia,
576,"Walau emg kdg suka ngeluh bgt kenapa aku gini gitu, tp selalu aja ada kejadian yg bisa bikin aku mikir ih tuhan tuh baik bgt sm aku. Sama ini, krn skrg online, aku jd lbh bisa belajar utk ujian wkwk gatau kenapa aku sejak ptm malah makin males belajarÃ°Å¸ËœÂ­Ã°Å¸Ëœâ€ udah males, tambah males",Indonesia,
577,"@subschfess gx, ak mw ptm aj. tapi jujur ngeri jg kalo ada yg +, tapi ptm jangan ada tugas kelompok dong. mls bgt",Indonesia,
578,"ptm lagi aja lah anjing, kena semprot mulu gue kalo di rumah.",Indonesia,Positif
579,"@kidd00st belum sumpah, dari 2019 gapernah ptm",Indonesia,
580,"sebel, sekolah gue senin depan udh mulai ptm 25%",Indonesia,
581,"SEKOLAHKU YANG TADINYA PTM FULL, JADI PJJ LAGI T Ã¢â‚¬â€ T",Indonesia,
582,ANJ DEH PTM AJALAH MALES GW PAKE NI LAPTOP TAI,Indonesia,
583,ptm 50% gajelas ngangngong ngantuk lagi,Indonesia,
584,"RT @tjapoenglaut: Presiden suruh evaluasi PTM.  usulan kepala daerah ditolak Lord.  kementrian pendidikan Mingkem.  gini gini banget TataÃ¢â‚¬Â¦",Indonesia,
585,"@poIisi lebih suka ptm, ujian online",Indonesia,
586,"@collegemenfess gw seneng si sama kampus gw, ptm cuma buat matkul yg ada asitensinya, sisanya, online, ya walaupun 4 dari 7 matkul ada asistensinya",Indonesia,
587,wtf?!?@? kok bisa dia bilang kaya ginii sumpah pola pikir nya agak agak ni kalo lo suka ptm ya yauda anjir di keep aja gausa bilang orang suka daring sama dengan di bully di sekolah.. as usual we knooo bully juga merupakan hal yg gabisa dibuat sebercanda kaya komenan lo ini https://t.co/3V8BGPlIuf,Indonesia,
588,ptm ptm kntol tgs kelompok mulu,Indonesia,Negatif
589,"@dearhika Ih enak ptm :( Iya sekolah aku udh pjj lagi. Ga sukaÃ°Å¸Ëœâ€",Indonesia,
590,@missufe Aaaaa aku lagi PTM jadi ga sempet aaaaaa,Indonesia,
591,enakan ptm full daripada sesi sesianÃ°Å¸ËœÅ¾Ã°Å¸ËœÅ¾,Indonesia,
592,"RT @EkoTamba: Manusia Indonesia, mendukung bgt penerbangan internasional buka, tempat wisata buka, tp ga setuju PTM. Lah pada pengen liburaÃ¢â‚¬Â¦",Indonesia,
593,SERIUSS PTM 50% LAGI?? Ã°Å¸ËœÂ­ YAUDAH GAPAPA DEH DRIPADA FULL ONLINE,Indonesia,
594,"gua ngerasain ptm aja belom, skrng udh pada balik daring",Indonesia,
595,"kan udah kubilang 0m1cr0n naik, krs-an trobel terus sampe hari terakhir, berarti ngga direstuin buat ptm",Indonesia,
596,"Pelajar dilarang PTM, pintu masuk keluar negeri dibuka lebar-lebar Pembunuhan karakter. Norak!! https://t.co/w75yVBXSnP",Indonesia,
597,"Humm gue tim ptm sih, tp ga 100% dan prokes nya harus lebih ketat, kasus nya bertambah juga bisa aja karena cuaca lagi ga menentu dan bikin imun jdi menurun jadi kalo kerasa ga enak badan dikit mending izin ga sekolah lagian kalo pjj juga sama aja ttp banyak orang bakal keluyuran https://t.co/B1cwj4lDsS",Indonesia,
598,"ANJAY BANGET GUE DARING LAGI AMPE TGL 14,UDH NYAMAN SM PTM JUGA Ã¢ËœÂºÃ¯Â¸ÂÃ°Å¸â€™â€ https://t.co/GNlQhREFSA",Indonesia,
599,kok sekolah lain masih ptm aku kan juga mauuu,Indonesia,
600,"RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",Indonesia,
601,@seulovelyy Pjj rasanya emng beda sm ptm. Pdhl guru ngasih tugas kek biasa,Indonesia,
602,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bÃ¢â‚¬Â¦",Indonesia,
603,"@CNNIndonesia Ngelesnya bisa aja, bekasi bogor aja udahan stop ptm wkwk",Indonesia,
604,"RT @rssieez: @subschfess yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar trÃ¢â‚¬Â¦",Indonesia,
605,@sunkidraft gue klo ptm 50% shift dua malah mingdep nya bukan siang nya,Indonesia,
606,ptm ptm bullshit. gw ke mall sekitar jam 12 lebih aja anak SMA udh pada nongkrong disono abis dari skolah. https://t.co/5b3n6TkaDw,Indonesia,
607,"Tiba2 ptm, tiba2 kehilangan seseorang di dunia ini, tiba2 siklus keseharian berubah, tubuh mulai adaptasi, dan kabar buruk lagiÃ‚Â² menerpa.",Indonesia,
608,ptm cape banget tapi seruu,Indonesia,Positif
609,@journaIiest seru ptm,Indonesia,
610,"gue ga masalah sih ptm, tp jangan pake shift lah anjritt gue kan absen akhiran yaa so pasti dapetnya shift 2 alias siang ga enak bgt. mending langsung ptm 100% aja gasi biar ga ribet?? ato ga pake sesi. seminggu sesi 1, seminggu sesi 2",Indonesia,
611, @dearhika Ih sekolahnya masih ptm ya? Enak banget :((,Indonesia,
612,RT @DewiTuwuh: Udah ada ini yg terbaru. Opsi ptm 50 persen juga ijin ortu ada https://t.co/SX4iXNOCfr https://t.co/LGIcMkwEYz,Indonesia,
613,"Terkejut kalo habis ptm 100%, terus 50%, habis itu 25% dan pjj DuarÃ°Å¸Â¤Â¯",Indonesia,
614,"RT @mysubuh: 1-2 positif di perkantoran, Perkantorannya lgs tutup 1-2 positif di pasar, pasarnya lgs tutup1-2 positif di sekolah, PTM lgÃ¢â‚¬Â¦",Indonesia,
615,@CNNIndonesia Klo menolak PTM... skln cabut PPKM di slrh Indonesia opung !!!,Indonesia,
616,"@subschfess wah ak speechless pada rep jam 9, aku ptm ampe jam 12 mau daring mau pjj sama aja",Indonesia,
617,Lagian emang belum siap buat ptm tapi dipaksain https://t.co/vfK2uzf1Rl,Indonesia,
618,pgn ptm deh,Indonesia,Positif
619,"@xenephoria aku tim ptm!! pelajarannya lebih masuk ke otak, lebih semangat juga, bisa ketemu temen"" dan masih banyak hal positif kalo ptmÃ°Å¸Ëœâ€°. kalo kak zahfran gimana?Ã°Å¸Â¤Â¨",Indonesia,
620,"@hnurwahid @aniesbaswedan Lah baca beritanya yg lengkap om ganteng, Pemda boleh kurangi PTM jadi hanya 50% seperti di daerah lain dgn level yg sama. Ortu juga boleh melarang anaknya utk tdk ikut PTM. Apanya yg tdk bertanggung jawab om? Anda boleh dukung org tertentu tapi jgn subjektif",Indonesia,
621,@caprifvck Iyaa ih;( tapi tkut kl ptm,Indonesia,
622,"RT @JoChristieHuang: Pandemi masih panjang, daripada ribet paksain PTM mendingan modifikasi kurikulum supaya sesuai dengan new normal dan gÃ¢â‚¬Â¦",Indonesia,
623,"@cremeiylatte Iya sama, tp klo ptm takut jga;(",Indonesia,
624,"@StopPlandemit Ini pernyataan mas mentri @nadiemmakarim gak dianggap apa perihal PTM

Sadar yuk...
Generasi sekarang sedang dibododohkan dan kita pun dimiskinkan dengan alasan corona. https://t.co/l7HjteND4v",Indonesia,
625,"@tanyakanrl Engga sih, ini aja lagi ptm 100% pula",Indonesia,
626,"@schfess ptm 50% asik sih, capeknya tuh masih bisa ditahan buat pjj minggu selanjutnyaÃ°Å¸Â¥Â²",Indonesia,
627,"@schfess kalo d sekolah gw engga, waktu itu ada test pcr berjamaah, dan kls 11 itu negatif smua, dan yg kena kls 12 sm 10 aja. jadi kemaren tuh yg ptm cm kls 11 aja dan yg pjj kls 10 sm 12, eh hari ini malah smua yg pjj, asu
 dan yg awal jd penyebab test pcr berjamaah itu berawal dr anak-",Indonesia,
628,"Tidak Loackdown.
PPKM diharuskan.
PTM tidak dihentikan.
Kerumunan dipertontonkan. 
Bisanya Orang - orang yang sengaja membingungkan Umat itu. 
Sebelum mati ditunjukan kepada mereka Azab yang pedih sebagai cerminan ke-yang lainnya. https://t.co/Athkv6Ygqv https://t.co/njuIXEHE1e",Indonesia,
629,"kalo daring tu udh ga dijelasin tugasnya bejibun lagi astaghfirullah, kalo ptm mah sekolah isinya penjelasan materi kerkom sama praktek mendingan lah jarang dapet tugas + ngerti materi",Indonesia,
630,"@iCroffles enak dongg, tp mingdep balik lagi ptm 100%",Indonesia,
631,RT @realAbikaTrader: @marlina_idha Biar masyarakat tau kalau keputusan PTM itu ternyata wewenang Pemerintah Pusat. Selama ini saya menyangkÃ¢â‚¬Â¦,Indonesia,
632,"@tanyakanrl belum ada kepastian asli sih, cuma katanya bakal ada ptm 50% lagi D:",Indonesia,
633,"@subschfess ptm lebih paham sm pelajaran nya, enak jg gada kendala grafik sm jaringan",Indonesia,
634,"@adisukardi @old_soldier1023 @Dikbudmalangkot @yusufgunawan @ipoksamidub Dari info yang kami terima, SD Sabilillah sdh melakukan penyesuaian proses PTM menyikapi temuan kasus.  Puskesmas @pkm_cisadea jg sdh diinformasikan hal tsb utk tindak lanjut 3T.  Jadi tidak benar bahwa ada yang ditutupi thd kasus tsb.  Tks.",Indonesia,
635,"@xigfao Masih PTM, cuma ekskul nya aja yang ditiadakan buat sementara ini",Indonesia,
636,"back to setiap hari bangun jam segini, PADAHAL UDAH SENENG KALO PTM 100% TUH AKUNYA LEBIH PRODUKTIF HUHU SEHARI HARINYA LEBIH TERTATA",Indonesia,
637,"@rulosttt Lebih seru ptm gasiii, gw butek ajg pjj",Indonesia,Positif
638,"@convomfs PTM LAH, KLO PJJ GAPAHAM MATERI",Indonesia,
639,"@Bundsary Thankyouuu~ Iy nih, dikasih tau rabu besok baru ptm lagi... itupun semoga gk dikelompokan A/B lg Ã°Å¸Ëœâ€Ã°Å¸Â¤Å¡Ã°Å¸ÂÂ»",Indonesia,
640,"@myfavjjie gue emang dari dulu pjj harusnya besok Senin ptm 4 the first time in forever, tapi kata pemerintah di suruh pjj in 2 minggu gara-gara omicron(?) WAH APAKAH INI AKAN MENJADI LIBUR 2 MINGGU TAPI 2 TAHUN SEASON 2?Ã°Å¸ËœÂ±Ã°Å¸ËœÂ±Ã°Å¸ËœÂ±",Indonesia,
641,"RT @HoneyBee2024: @Mdy_Asmara1701 Laksanakan yang terbaik buat rakyat....jangan hiraukan suara pejabat https://t.co/Nw4H6iv2to",Indonesia,
642,"Di sekolah karena ada 3 pilihan, boleh ptm, pjj atau campuran. Tapi demi kebaikan anak2 yg blm bisa kontrol diri, kita pilihlah pjj lagi. Emg sekarang udah ga bisa harapin pemerintah, udahlah lindungin keluarga masing2 aja Ã°Å¸Â¥Â² semoga Allah SWT yg tolong. https://t.co/V8YGP6pvta",Indonesia,
643,senin balik pjj ya? enakan ptm,Indonesia,
644,"@convomf di daerahku udah level 3 ,ada anak sekolah yang udah kena covid juga ,tapi ptm tetep jalan tu ,aturan si di liburin yaa sebelum makin luas lagi penyebarannya",Indonesia,
645,"@dr_koko28 Dok, PTM nih dok gmn nih ? 2 sekolah anak saya tutup gegara bnyk yg terpapar, trs @jokowi bilang isoman 5 hari pasti nanti jd acuan pihak sekolah, ini anak sy isoman dah sminggu lbh blm hilang batukÃ‚Â²nya dan radangnya msh positif..",Indonesia,
646,"@subschfess PJJ, karna kl PJJ tu lebih gampang bagi waktu dan bisa ngontrol diri. kl PTM tu kyk cape bgt, blm less nya, blm lagi nnt belajarnya. selama aku PTM kyknya hampir gk pernah belajar deh, selain les.",Indonesia,
647,@jaeminatural engga wkwkwkwk males ptm,Indonesia,Negatif
648,@myfavjjie GUE KANGEN OLAHRAGA HUHUHU MANA GA JADI PTM HUHUHU KANGENNNN,Indonesia,
649,Blum ada dokumentasi PTM udh daring ajaaaaaaaaa,Indonesia,Positif
650,"Mantap , PTM tetap dilanjutkan, bosan anak anak belajar di kasur terus https://t.co/R083S0sTHy",Indonesia,
651,"@bbylinoo Aku makan roti tadi, ohh berarti ga langsung semuanya ptm ya hsksks btw semangatt buat hari inii (Ã¯Â½Â¡Ã¯Â½Â¥Ãâ€°Ã¯Â½Â¥Ã¯Â½Â¡)Ã¯Â¾â€°Ã¢â„¢Â¡(Ã¯Â½Â¡Ã¯Â½Â¥Ãâ€°Ã¯Â½Â¥Ã¯Â½Â¡)Ã¯Â¾â€°Ã¢â„¢Â¡",Indonesia,
652,"@satriohendri Jadi sudah pasti kan, siapa yang harus bertanggung jawab apabila peserta didik dan tenaga kependidikan tumbang gegara permohonan penangguhan PTM-100% yang ditolak. Suka-suka lu aja deh, mumpung lagi kuasa dan bisa mengatur segalanya.",Indonesia,
653,@luvlytaejin aaa iya aku juga sama gt katanya mingdep udah ptm tp klo situasi nya semakin naik keanya ada perubahan,Indonesia,
654,"Kalau nekat masih gelar PTM artinya dia  Pejabat Tidaktahu Maluuuuuuu",Indonesia,
655,"Saya mendukung untuk pembatalkan sementara kebijakan PTM di sekolah-sekolah demi menghindari penyebaran virus yg belum diketahui. Takutnya anak sekolah pada jadi zombie kayak di Korea, kan ngeri. Jujur blm kuat untuk lari-larinya.",Indonesia,Negatif
656,"cape banget sama ptm, banyak tugas kelompok Ã°Å¸ËœÂ ",Indonesia,Negatif
657,"Plis, aku belum ngerasain ptm 100% setidaknya kasih 1 Minggu ptm 100% baru pjj lagi hehehehehhehe",Indonesia,
