,original_tweet,sentiment,Predicted
466,pls ptm 50% lagi',-5,NEGATIF
467,@alsunsky Iya T_T padahal baru ptm 50% 2 minggu rasanya capek banget',-3,NEGATIF
468,"@subschfess skola sy dah ad yg kena, minggu kmrn dah pjj, minggu ini ptm jd 50% lagi ga 100% sampe seterusnya :""('",-28,NEGATIF
469,"@subschfess Ga suka pjj, tapi suka ptm 50% aja",7,POSITIF
470,RT @fireworkID: @mediaindonesia @chairulachir PTM 100% itu cara lama. Harusnya 50-50. Sekolah dan walimurid harus adaptasi betul bahwa 50-5 ',9,POSITIF
471,"@LetsPlayBallNCT Anj, sabtu diumumin ptm 100% minggunya langsung ganti 50% cuk sekolah gw, gegara kasus koped naik lagi sial'",-7,NEGATIF
472,"@convomfs Sekolah gue kaga ptm 100% si, jadi selang seling luring daring gitu. Cuma sekolah temen gue ada yg kaya g https://t.co/D0bg9aeD7J'",10,POSITIF
473,ptm 50% sepi bnget kelas akuu',-7,NEGATIF
474,ANJIR PTM 50%',1,POSITIF
475,"@champagnedrinks Stuju juga klo 50%  PTM, gurunya pada mikir kita main aja, jadinya tugasnya ditumpukin terus, ditambah ulangan lagiii.'",5,POSITIF
476,"Bismillah semoga PTM 100% disekolahku beso aja, hari selasa kembali sesi A sesi '(50%). Plisss Bismillah.  Aamiin'",7,POSITIF
477,"ya ptm 50% aja, lebih baik daripada ptm 100%'",9,POSITIF
478,@xslnau tapi seru kan ya ptm 100% huhu aku masih 50% ngga asik banget',9,POSITIF
479,@dayuinds Aku baru mau PTM lagi day haha Tdnya 100% terus banyak yang ga setuju. Akhirnya 50% dulu. Eheheee masih a https://t.co/PWvdUDgCdK',14,POSITIF
480,"Dih serius dah.. SUMPAH MENDING PTM 50% GPP ASLI ANJIR INI TAKUTT AKU TEH, tapi kangen sm temen'",8,POSITIF
481,"Tadi kesel gegara ptm nya msih 50%, skrng ptm nya diubah udah jdi 100% saya mlh takut?! YA ALLAH CAPEK SM DIRI AING'",-5,NEGATIF
482,KESELL GA SIE PTM JADI 50% LAGI PDHL UDH SENENG FULL LOHH',4,POSITIF
483,@schfess SKOLAH GWEHHHH PTM 50% LG ANJJJJJJ',-8,NEGATIF
484,@schfess masih 100% cape banget. semoga aja deh sekolah aku jadi 50% lagi ptm nya',2,POSITIF
485,@schfess sekolahku udah stop ptm 100% dari minggu kmrn. jadi 50% skrg persesi',3,POSITIF
486,"semua gr2 polan, jd ptm 50% lg asooo'",0,NETRAL
487,"@schfess Masihh ptm 100%, berharap 50% aja boleh gak sih'",2,POSITIF
488,"@schfess seminggu yang lalu sekolahku ptn 100%, minggu kemarin katanya gaboleh jdnya 50% dan minggu depan kembali ptm 100% ..'",-2,NEGATIF
489,@schfess gatau deh nder ini udh 2 minggu sklh dan kelas 12 baru 100% ptm. dan skrg senin depan kls 10 sm 11 juga ik https://t.co/tAHr5d64Or',-6,NEGATIF
490,@tiqqquee ptm 50% dibagi berdasarkan yang makan diaduk dan ga diaduk',-3,NEGATIF
491,kenapa ptm 50% lagi sih',-2,NEGATIF
492,"Cape anjir kalo 50% ptm, di sekolah isinya presentasi ma kuis dadakan, sampe rumah ngerjain tugas di gc'",-10,NEGATIF
493,"@schfess Kalau ngasih info suka dadakan, kadang h-berapa jam gitu baru dikasih tau. Sekolahku awalnya ptm 100% tapi https://t.co/YHIdfRFrR3'",7,POSITIF
494,SchApp! besok sender bakal ptm 100%.... Takut banget AAAAAAAAAAAAAAAAAA ntar ga ditemenin gimana ya ((nangis),-1,NEGATIF
495,"sekolah gua agak mencla-mencle ya, kmrn bru full PTM 2 minggu, pas minggu ketiga diganti ke PTM 50%. baru seminggu,  https://t.co/VDysZAOwHw'",-4,NEGATIF
496,pantesan aja anjing mingdep gue ptm 50%',-14,NEGATIF
497,"@convomf aku dari september ga mau ptm, bener aja ga lama ada yang covid, balik online lagi deh",1,POSITIF
498," @KeripikMama_87 Aku kn tinggal di perbatasan Bekasi barat - Jakarta Timur.. cuma dibatasi jembatan tol Emang beda bgt,, Jakarta masih PTM ðŸ¥º",-2,NEGATIF
499," @Dj_Bams74 Hahahahaha ðŸ¤£ðŸ˜‚ Abis jatuhin anak orang kabur ðŸ˜‚  Makanya rajin tengok kebawah om sebelum menghina anak orang lain Jangankan bicara fasilitas signal antar daerah aja berbeda ðŸ˜‚ Jadi sudah benar PTM dilakukan agar pendidikan dapat dirasakan semua orang ðŸ˜‚ðŸ‘",-3,NEGATIF
500,TAPI PTM 50% LAGI?? ANJRIT SESIÂ²AN MULU,1,POSITIF
501,tadi ptm tapi jam segini sudah dipulangkan karena akan pjj lagi:),-1,NEGATIF
502,"mendingan ptm ya, kalo pjj tu tugasnya susah susah",-9,NEGATIF
503,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bâ€¦",10,POSITIF
504,"Ptm 100% tolong segera direvisi jujur gak siap tiap hari kudu anter jemput adek ke sekolah, jauh e ðŸ˜‚ðŸ˜‚",-3,NEGATIF
505,AAAAAAAAAA MAU PTM AJA,6,POSITIF
506,RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagiâ€¦,-13,NEGATIF
507,"RT @IndahKu64617720: Ketiga anakku tidak vaksin termaksud aku, d Uber2 sana sini ma gurunya aku gak perduli. D ancam gak bisa ikut PTM, akâ€¦",-28,NEGATIF
508,"Alasan saya benci daring: Karena guru suka seenaknya, disuruh belajar bukan di jamnya. Di suruh kuis di waktunya murid tidur atau istirahat. Kalau ptm, semisalnya dia gak bisa hadir ya paling minggu depan baru kuis. Kalau ini dipaksain di jam pulang, lol.",-4,NEGATIF
509,"@AoiLunatic88 Ya enggak sih,Kei. Soalnya emang berhentikan PTM nggak gampang juga. Belum dengerin keluhan keluhan gitu kan. Selama masih bisa lanjut ya lanjut,cuma ya resikonya jadi banyak yang kena",11,POSITIF
510,"Kayaknya gue gak bisa update dulu buat beberapa hari ke depan ya hehe, soalnya lagi beberes barang buat pindahan, engga deng, lebih tepatnya buat persiapan ptm hari senin, jadi agak sibuk, belum lagi nyari kosan, kampus gue infonya telat bgt, kan jadi grasak grusuk hadeeh",-20,NEGATIF
511,"RT @IndahKu64617720: Ketika kamu setuju anakmu d vaksin dgn alasan PTM, dan vaksin tersebut berakibat buruk pada anakmu jangan salahkan siaâ€¦",-16,NEGATIF
512,"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkelðŸ˜” C551Bisa ga sih pjj rasa ptm gituðŸ˜­",5,POSITIF
513,mending PTM si bener kalau daring banyak bangt tugas nya,7,POSITIF
514,kangen ptm https://t.co/Yo8Jdg3O4Z,3,POSITIF
515,"yg masih ptm enak bgt deh, aku iri :(",1,POSITIF
516,"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",0,NETRAL
517,"@sccumma Emg kita kyknya bakal gt ga sih ðŸ˜­ðŸ˜­ Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",-8,NEGATIF
518,"@4ivengers HAH KOK ENAK PTM, AING DARING",5,POSITIF
519,harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,19,POSITIF
520,"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orangâ€¦",-3,NEGATIF
521,ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,3,POSITIF
522,sepertinya semester ini ptm adalah ide buruk,-5,NEGATIF
523,MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,-18,NEGATIF
524,"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh ðŸ™„ https://t.co/UfU5c8a9IB",0,NETRAL
525,Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astagaðŸ˜©,18,POSITIF
526,mau balik ke ptm plis :(,1,POSITIF
527,"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",1,POSITIF
528,mau ptm aja ribet banget persyaratannya,3,POSITIF
529,@joshujiee Emg blm pernah ptm ato balik pjj lagi?,-6,NEGATIF
530,"ngga usah ptm 50% lahh, pjj aja udh ampe lulus ðŸ™‚",15,POSITIF
531,gua mau ngomong â€œbesok ptm anjing bangun pagi woi?â€ juga ga mempanðŸ˜­ https://t.co/Xbf8oiz2vh,-6,NEGATIF
532,@wolfbitieee enakan ptm lah,5,POSITIF
533,@schfess aku mau ptm 50% !!! pls kangen bgt,8,POSITIF
534,"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",4,POSITIF
535,"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeeeðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¤—ðŸ˜ŒðŸ¤ª",5,POSITIF
536,"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk ðŸ˜“",-4,NEGATIF
537,ini lah mengapa sy lebih suka PTM,-4,NEGATIF
538,"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",12,POSITIF
539,YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,1,POSITIF
540,Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,-6,NEGATIF
541,@cetenotpete ptm tp skrg libur,3,POSITIF
542,IH MENDING PJJ DAH DARI PADA PTM 50%,-6,NEGATIF
543,"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak  NAMANYA JUGA ANAK ANAK, WAJAR SAJA  PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat  https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",-8,NEGATIF
544,@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,4,POSITIF
545,@cetenotpete ptm tp meliburkan diri xixi,2,POSITIF
546,"@ljnchoco Enak ptm ga sie, dapat uang jajanðŸ˜­",7,POSITIF
547,Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,-1,NEGATIF
548,"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi ðŸ¤¬",4,POSITIF
549,YA ALLAH BESOK DARING LAGIðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ BELOM PUAS PTM UEUEE,11,POSITIF
550,"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagiðŸ˜­",-6,NEGATIF
551,ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,-38,NEGATIF
552,"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik) pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol) ^^ persepsi gue",-3,NEGATIF
553,"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",-7,NEGATIF
554,"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya anâ€¦",9,POSITIF
555,"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",8,POSITIF
556,"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",-9,NEGATIF
557,"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",-4,NEGATIF
558,gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh ðŸ˜ŽðŸ˜Ž,-3,NEGATIF
559,@wajaar Semangt ya yg belum ngerasain ptm,2,POSITIF
560,Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,11,POSITIF
561,"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsbðŸ˜­pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",-6,NEGATIF
562,@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,-5,NEGATIF
563,@Pockyyycocolate sama kayak kelasku kalo ptm,-1,NEGATIF
564,"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab â¤",20,POSITIF
565,"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",-10,NEGATIF
566,"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",5,POSITIF
567,"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",-10,NEGATIF
568,"@collegemenfess yay aja, kalo PTM biasanya dosennya ngasih waktu istirahat si buat maksi",-2,NEGATIF
569,"@onyonrm_ark gwehj ptm anjritðŸ˜­, udah donggg",-7,NEGATIF
570,"Drama ngeyel ala gottbener, daerah lain saja bisa menghentikan PTM kenapa DKI gak bisa https://t.co/prsM5jgi5H",-15,NEGATIF
571,@schfess Ada juga yg sukanya jalan-jalan ketika disuruh ptm malah takut kena ðŸ˜­ dikira jalan-jalan itu kebal apa,-12,NEGATIF
572,"@hipeaches_aem dl nya si masih lama soalnya ngumpulinnya pas ptm, tapi bnyk ada 7 tugas ðŸ¥²",-10,NEGATIF
573,IH GAMAU PTM 50% :((((((,-4,NEGATIF
574,"Viralken aja, yg jelas pak Anies sdh berusaha krn arogansi si lumut maka permintaan tutup PTM ditolaknya #PermintaanTutupPTMditolakLuhut https://t.co/WKsC8Oinka",-11,NEGATIF
575,"Bangun pagi, gosok gigi, terus mandi, PTM lagi..",-7,NEGATIF
576,"Walau emg kdg suka ngeluh bgt kenapa aku gini gitu, tp selalu aja ada kejadian yg bisa bikin aku mikir ih tuhan tuh baik bgt sm aku. Sama ini, krn skrg online, aku jd lbh bisa belajar utk ujian wkwk gatau kenapa aku sejak ptm malah makin males belajarðŸ˜­ðŸ˜” udah males, tambah males",14,POSITIF
577,"@subschfess gx, ak mw ptm aj. tapi jujur ngeri jg kalo ada yg +, tapi ptm jangan ada tugas kelompok dong. mls bgt",-2,NEGATIF
578,"ptm lagi aja lah anjing, kena semprot mulu gue kalo di rumah.",-11,NEGATIF
579,"@kidd00st belum sumpah, dari 2019 gapernah ptm",-4,NEGATIF
580,"sebel, sekolah gue senin depan udh mulai ptm 25%",0,NETRAL
581,"SEKOLAHKU YANG TADINYA PTM FULL, JADI PJJ LAGI T â€” T",0,NETRAL
582,ANJ DEH PTM AJALAH MALES GW PAKE NI LAPTOP TAI,-10,NEGATIF
583,ptm 50% gajelas ngangngong ngantuk lagi,-4,NEGATIF
584,"RT @tjapoenglaut: Presiden suruh evaluasi PTM.  usulan kepala daerah ditolak Lord.  kementrian pendidikan Mingkem.  gini gini banget Tataâ€¦",1,POSITIF
585,"@poIisi lebih suka ptm, ujian online",5,POSITIF
586,"@collegemenfess gw seneng si sama kampus gw, ptm cuma buat matkul yg ada asitensinya, sisanya, online, ya walaupun 4 dari 7 matkul ada asistensinya",-5,NEGATIF
587,wtf?!?@? kok bisa dia bilang kaya ginii sumpah pola pikir nya agak agak ni kalo lo suka ptm ya yauda anjir di keep aja gausa bilang orang suka daring sama dengan di bully di sekolah.. as usual we knooo bully juga merupakan hal yg gabisa dibuat sebercanda kaya komenan lo ini https://t.co/3V8BGPlIuf,1,POSITIF
588,ptm ptm kntol tgs kelompok mulu,-7,NEGATIF
589,"@dearhika Ih enak ptm :( Iya sekolah aku udh pjj lagi. Ga sukaðŸ˜”",16,POSITIF
590,@missufe Aaaaa aku lagi PTM jadi ga sempet aaaaaa,-2,NEGATIF
591,enakan ptm full daripada sesi sesianðŸ˜žðŸ˜ž,5,POSITIF
592,"RT @EkoTamba: Manusia Indonesia, mendukung bgt penerbangan internasional buka, tempat wisata buka, tp ga setuju PTM. Lah pada pengen liburaâ€¦",18,POSITIF
593,SERIUSS PTM 50% LAGI?? ðŸ˜­ YAUDAH GAPAPA DEH DRIPADA FULL ONLINE,-3,NEGATIF
594,"gua ngerasain ptm aja belom, skrng udh pada balik daring",1,POSITIF
595,"kan udah kubilang 0m1cr0n naik, krs-an trobel terus sampe hari terakhir, berarti ngga direstuin buat ptm",-3,NEGATIF
596,"Pelajar dilarang PTM, pintu masuk keluar negeri dibuka lebar-lebar Pembunuhan karakter. Norak!! https://t.co/w75yVBXSnP",-4,NEGATIF
597,"Humm gue tim ptm sih, tp ga 100% dan prokes nya harus lebih ketat, kasus nya bertambah juga bisa aja karena cuaca lagi ga menentu dan bikin imun jdi menurun jadi kalo kerasa ga enak badan dikit mending izin ga sekolah lagian kalo pjj juga sama aja ttp banyak orang bakal keluyuran https://t.co/B1cwj4lDsS",-21,NEGATIF
598,"ANJAY BANGET GUE DARING LAGI AMPE TGL 14,UDH NYAMAN SM PTM JUGA â˜ºï¸ðŸ’” https://t.co/GNlQhREFSA",0,NETRAL
599,kok sekolah lain masih ptm aku kan juga mauuu,5,POSITIF
600,"RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",-13,NEGATIF
601,@seulovelyy Pjj rasanya emng beda sm ptm. Pdhl guru ngasih tugas kek biasa,4,POSITIF
602,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bâ€¦",10,POSITIF
603,"@CNNIndonesia Ngelesnya bisa aja, bekasi bogor aja udahan stop ptm wkwk",1,POSITIF
604,"RT @rssieez: @subschfess yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar trâ€¦",-10,NEGATIF
605,@sunkidraft gue klo ptm 50% shift dua malah mingdep nya bukan siang nya,-1,NEGATIF
606,ptm ptm bullshit. gw ke mall sekitar jam 12 lebih aja anak SMA udh pada nongkrong disono abis dari skolah. https://t.co/5b3n6TkaDw,-9,NEGATIF
607,"Tiba2 ptm, tiba2 kehilangan seseorang di dunia ini, tiba2 siklus keseharian berubah, tubuh mulai adaptasi, dan kabar buruk lagiÂ² menerpa.",-15,NEGATIF
608,ptm cape banget tapi seruu,2,POSITIF
609,@journaIiest seru ptm,5,POSITIF
610,"gue ga masalah sih ptm, tp jangan pake shift lah anjritt gue kan absen akhiran yaa so pasti dapetnya shift 2 alias siang ga enak bgt. mending langsung ptm 100% aja gasi biar ga ribet?? ato ga pake sesi. seminggu sesi 1, seminggu sesi 2",3,POSITIF
611, @dearhika Ih sekolahnya masih ptm ya? Enak banget :((,10,POSITIF
612,RT @DewiTuwuh: Udah ada ini yg terbaru. Opsi ptm 50 persen juga ijin ortu ada https://t.co/SX4iXNOCfr https://t.co/LGIcMkwEYz,12,POSITIF
613,"Terkejut kalo habis ptm 100%, terus 50%, habis itu 25% dan pjj DuarðŸ¤¯",3,POSITIF
614,"RT @mysubuh: 1-2 positif di perkantoran, Perkantorannya lgs tutup 1-2 positif di pasar, pasarnya lgs tutup1-2 positif di sekolah, PTM lgâ€¦",9,POSITIF
615,@CNNIndonesia Klo menolak PTM... skln cabut PPKM di slrh Indonesia opung !!!,-9,NEGATIF
616,"@subschfess wah ak speechless pada rep jam 9, aku ptm ampe jam 12 mau daring mau pjj sama aja",11,POSITIF
617,Lagian emang belum siap buat ptm tapi dipaksain https://t.co/vfK2uzf1Rl,2,POSITIF
618,pgn ptm deh,-1,NEGATIF
619,"@xenephoria aku tim ptm!! pelajarannya lebih masuk ke otak, lebih semangat juga, bisa ketemu temen"" dan masih banyak hal positif kalo ptmðŸ˜‰. kalo kak zahfran gimana?ðŸ¤¨",19,POSITIF
620,"@hnurwahid @aniesbaswedan Lah baca beritanya yg lengkap om ganteng, Pemda boleh kurangi PTM jadi hanya 50% seperti di daerah lain dgn level yg sama. Ortu juga boleh melarang anaknya utk tdk ikut PTM. Apanya yg tdk bertanggung jawab om? Anda boleh dukung org tertentu tapi jgn subjektif",9,POSITIF
621,@caprifvck Iyaa ih;( tapi tkut kl ptm,-4,NEGATIF
622,"RT @JoChristieHuang: Pandemi masih panjang, daripada ribet paksain PTM mendingan modifikasi kurikulum supaya sesuai dengan new normal dan gâ€¦",-14,NEGATIF
623,"@cremeiylatte Iya sama, tp klo ptm takut jga;(",5,POSITIF
624,"@StopPlandemit Ini pernyataan mas mentri @nadiemmakarim gak dianggap apa perihal PTM

Sadar yuk...
Generasi sekarang sedang dibododohkan dan kita pun dimiskinkan dengan alasan corona. https://t.co/l7HjteND4v",-12,NEGATIF
625,"@tanyakanrl Engga sih, ini aja lagi ptm 100% pula",1,POSITIF
626,"@schfess ptm 50% asik sih, capeknya tuh masih bisa ditahan buat pjj minggu selanjutnyaðŸ¥²",5,POSITIF
627,"@schfess kalo d sekolah gw engga, waktu itu ada test pcr berjamaah, dan kls 11 itu negatif smua, dan yg kena kls 12 sm 10 aja. jadi kemaren tuh yg ptm cm kls 11 aja dan yg pjj kls 10 sm 12, eh hari ini malah smua yg pjj, asu
 dan yg awal jd penyebab test pcr berjamaah itu berawal dr anak-",-63,NEGATIF
628,"Tidak Loackdown.
PPKM diharuskan.
PTM tidak dihentikan.
Kerumunan dipertontonkan. 
Bisanya Orang - orang yang sengaja membingungkan Umat itu. 
Sebelum mati ditunjukan kepada mereka Azab yang pedih sebagai cerminan ke-yang lainnya. https://t.co/Athkv6Ygqv https://t.co/njuIXEHE1e",-10,NEGATIF
629,"kalo daring tu udh ga dijelasin tugasnya bejibun lagi astaghfirullah, kalo ptm mah sekolah isinya penjelasan materi kerkom sama praktek mendingan lah jarang dapet tugas + ngerti materi",2,POSITIF
630,"@iCroffles enak dongg, tp mingdep balik lagi ptm 100%",-5,NEGATIF
631,RT @realAbikaTrader: @marlina_idha Biar masyarakat tau kalau keputusan PTM itu ternyata wewenang Pemerintah Pusat. Selama ini saya menyangkâ€¦,-4,NEGATIF
632,"@tanyakanrl belum ada kepastian asli sih, cuma katanya bakal ada ptm 50% lagi D:",0,NETRAL
633,"@subschfess ptm lebih paham sm pelajaran nya, enak jg gada kendala grafik sm jaringan",7,POSITIF
634,"@adisukardi @old_soldier1023 @Dikbudmalangkot @yusufgunawan @ipoksamidub Dari info yang kami terima, SD Sabilillah sdh melakukan penyesuaian proses PTM menyikapi temuan kasus.  Puskesmas @pkm_cisadea jg sdh diinformasikan hal tsb utk tindak lanjut 3T.  Jadi tidak benar bahwa ada yang ditutupi thd kasus tsb.  Tks.",2,POSITIF
635,"@xigfao Masih PTM, cuma ekskul nya aja yang ditiadakan buat sementara ini",-10,NEGATIF
636,"back to setiap hari bangun jam segini, PADAHAL UDAH SENENG KALO PTM 100% TUH AKUNYA LEBIH PRODUKTIF HUHU SEHARI HARINYA LEBIH TERTATA",18,POSITIF
637,"@rulosttt Lebih seru ptm gasiii, gw butek ajg pjj",-7,NEGATIF
638,"@convomfs PTM LAH, KLO PJJ GAPAHAM MATERI",-5,NEGATIF
639,"@Bundsary Thankyouuu~ Iy nih, dikasih tau rabu besok baru ptm lagi... itupun semoga gk dikelompokan A/B lg ðŸ˜”ðŸ¤šðŸ»",-6,NEGATIF
640,"@myfavjjie gue emang dari dulu pjj harusnya besok Senin ptm 4 the first time in forever, tapi kata pemerintah di suruh pjj in 2 minggu gara-gara omicron(?) WAH APAKAH INI AKAN MENJADI LIBUR 2 MINGGU TAPI 2 TAHUN SEASON 2?ðŸ˜±ðŸ˜±ðŸ˜±",-5,NEGATIF
641,"RT @HoneyBee2024: @Mdy_Asmara1701 Laksanakan yang terbaik buat rakyat....jangan hiraukan suara pejabat https://t.co/Nw4H6iv2to",6,POSITIF
642,"Di sekolah karena ada 3 pilihan, boleh ptm, pjj atau campuran. Tapi demi kebaikan anak2 yg blm bisa kontrol diri, kita pilihlah pjj lagi. Emg sekarang udah ga bisa harapin pemerintah, udahlah lindungin keluarga masing2 aja ðŸ¥² semoga Allah SWT yg tolong. https://t.co/V8YGP6pvta",21,POSITIF
643,senin balik pjj ya? enakan ptm,6,POSITIF
644,"@convomf di daerahku udah level 3 ,ada anak sekolah yang udah kena covid juga ,tapi ptm tetep jalan tu ,aturan si di liburin yaa sebelum makin luas lagi penyebarannya",24,POSITIF
645,"@dr_koko28 Dok, PTM nih dok gmn nih ? 2 sekolah anak saya tutup gegara bnyk yg terpapar, trs @jokowi bilang isoman 5 hari pasti nanti jd acuan pihak sekolah, ini anak sy isoman dah sminggu lbh blm hilang batukÂ²nya dan radangnya msh positif..",-15,NEGATIF
646,"@subschfess PJJ, karna kl PJJ tu lebih gampang bagi waktu dan bisa ngontrol diri. kl PTM tu kyk cape bgt, blm less nya, blm lagi nnt belajarnya. selama aku PTM kyknya hampir gk pernah belajar deh, selain les.",-9,NEGATIF
647,@jaeminatural engga wkwkwkwk males ptm,-7,NEGATIF
648,@myfavjjie GUE KANGEN OLAHRAGA HUHUHU MANA GA JADI PTM HUHUHU KANGENNNN,-5,NEGATIF
649,Blum ada dokumentasi PTM udh daring ajaaaaaaaaa,8,POSITIF
650,"Mantap , PTM tetap dilanjutkan, bosan anak anak belajar di kasur terus https://t.co/R083S0sTHy",-1,NEGATIF
651,"@bbylinoo Aku makan roti tadi, ohh berarti ga langsung semuanya ptm ya hsksks btw semangatt buat hari inii (ï½¡ï½¥Ï‰ï½¥ï½¡)ï¾‰â™¡(ï½¡ï½¥Ï‰ï½¥ï½¡)ï¾‰â™¡",13,POSITIF
652,"@satriohendri Jadi sudah pasti kan, siapa yang harus bertanggung jawab apabila peserta didik dan tenaga kependidikan tumbang gegara permohonan penangguhan PTM-100% yang ditolak. Suka-suka lu aja deh, mumpung lagi kuasa dan bisa mengatur segalanya.",13,POSITIF
653,@luvlytaejin aaa iya aku juga sama gt katanya mingdep udah ptm tp klo situasi nya semakin naik keanya ada perubahan,12,POSITIF
654,"Kalau nekat masih gelar PTM artinya dia  Pejabat Tidaktahu Maluuuuuuu",-2,NEGATIF
655,"Saya mendukung untuk pembatalkan sementara kebijakan PTM di sekolah-sekolah demi menghindari penyebaran virus yg belum diketahui. Takutnya anak sekolah pada jadi zombie kayak di Korea, kan ngeri. Jujur blm kuat untuk lari-larinya.",-11,NEGATIF
656,"cape banget sama ptm, banyak tugas kelompok ðŸ˜ ",-2,NEGATIF
657,"Plis, aku belum ngerasain ptm 100% setidaknya kasih 1 Minggu ptm 100% baru pjj lagi hehehehehhehe",-3,NEGATIF
